,count_ingles,count_esp,count_port
  a,1,0,0
  d,0,3,2
  e,0,2,1
  i,3,0,0
  l,1,0,0
  n,1,0,0
  p,1,1,0
  s,0,1,0
  t,2,0,0
  w,2,0,0
  y,2,0,0
 a ,45,20,29
 ab,2,2,3
 ac,0,6,6
 ad,0,1,1
 ae,0,1,1
 af,1,0,0
 ag,2,3,1
 ah,0,1,0
 ai,1,0,1
 al,5,19,7
 am,1,3,5
 an,13,0,6
 ao,0,0,3
 ap,3,2,3
 aq,0,2,2
 ar,13,0,1
 as,4,1,14
 at,7,0,3
 au,0,2,2
 ay,0,4,0
 añ,0,3,0
 ba,10,5,4
 be,18,1,2
 bi,5,4,1
 bl,2,0,0
 bo,8,5,11
 br,5,0,2
 bu,6,4,0
 by,4,0,0
 bá,0,1,1
 ca,15,21,22
 ce,1,4,5
 ch,6,1,6
 ci,1,6,3
 cl,7,5,0
 co,18,33,46
 cr,4,6,3
 cu,1,10,2
 cé,0,0,1
 có,0,2,0
 da,5,1,7
 de,2,48,48
 di,10,11,13
 do,22,6,13
 dr,5,0,0
 du,1,5,3
 dé,0,3,0
 dê,0,0,2
 dí,0,3,0
 dó,0,1,0
 dú,0,0,1
 e ,0,0,4
 ea,3,0,0
 ec,0,1,0
 ed,0,4,3
 eg,1,0,0
 el,1,56,16
 em,1,2,13
 en,5,46,14
 er,0,4,3
 es,0,92,56
 eu,0,0,27
 ev,2,0,0
 ex,3,6,8
 ey,2,0,0
 fa,11,5,11
 fe,3,3,3
 fi,4,2,8
 fl,3,1,1
 fo,14,0,9
 fr,3,3,3
 fu,1,5,1
 fá,0,1,1
 fé,0,0,1
 fú,0,1,0
 ga,4,2,2
 ge,5,2,3
 gi,5,0,0
 go,19,0,6
 gr,2,7,2
 gu,0,5,0
 gê,0,0,1
 ha,22,21,3
 he,16,7,0
 hi,9,2,1
 ho,22,12,9
 hu,5,1,0
 hy,2,2,2
 há,0,0,2
 i ,32,0,0
 i',11,0,0
 id,0,1,0
 if,1,0,0
 ig,0,1,1
 im,1,1,2
 in,34,6,6
 ir,0,3,5
 is,40,0,4
 it,19,0,0
 ja,3,2,2
 jo,2,4,8
 ju,2,5,1
 já,0,0,1
 ki,4,1,1
 kn,4,0,0
 ko,6,0,0
 la,7,56,1
 le,16,7,7
 li,14,10,8
 ll,0,2,0
 lo,11,12,3
 lu,1,3,2
 ly,1,0,0
 lá,0,1,8
 lí,0,0,1
 lú,0,1,0
 ma,15,19,30
 me,16,9,19
 mi,5,22,14
 mo,13,2,6
 mu,0,11,10
 my,18,0,0
 má,0,16,1
 mã,0,0,5
 mé,0,0,2
 mí,0,3,0
 na,2,6,21
 ne,11,4,8
 ni,5,3,2
 no,12,19,27
 nu,1,4,2
 nã,0,0,8
 o ,0,2,32
 ob,0,0,2
 of,8,1,1
 oi,1,0,0
 oj,0,2,0
 ok,1,0,0
 ol,1,1,4
 on,13,0,5
 oo,1,1,0
 op,2,1,1
 or,3,0,0
 os,0,0,4
 ot,1,7,0
 ou,4,0,9
 ov,5,0,1
 oí,0,1,0
 pa,5,19,20
 pe,3,10,13
 ph,1,0,0
 pi,3,5,0
 pl,9,1,1
 po,4,21,20
 pr,4,11,17
 pu,5,8,1
 pá,0,1,2
 pé,0,0,2
 pú,0,2,2
 qu,0,26,58
 ra,2,0,1
 re,13,22,15
 ri,4,0,2
 ro,3,2,2
 ru,0,0,4
 rá,0,2,1
 rí,0,2,0
 sa,4,7,6
 sc,7,0,0
 se,13,23,34
 sh,13,0,0
 si,7,8,2
 sk,2,0,0
 sl,1,0,0
 sm,3,0,0
 sn,1,0,0
 so,14,11,7
 sp,5,0,0
 st,11,0,0
 su,7,15,10
 sw,1,0,0
 sã,0,0,4
 sé,0,1,0
 sí,0,2,0
 só,0,1,0
 ta,4,9,5
 te,5,15,15
 th,130,0,0
 ti,3,8,3
 to,48,12,9
 tr,3,7,9
 tu,1,9,1
 tw,4,0,0
 tã,0,0,2
 tê,0,0,1
 um,0,0,32
 un,0,34,1
 up,2,0,0
 us,1,2,1
 va,3,7,5
 ve,3,17,13
 vi,1,7,6
 vo,1,4,38
 vu,0,3,0
 vá,0,0,2
 vô,0,0,1
 wa,24,0,1
 we,15,0,0
 wh,26,0,0
 wi,11,0,0
 wo,10,1,1
 wr,1,0,0
 y ,0,4,0
 ye,7,0,0
 yo,51,6,1
 za,0,2,0
 ¡e,0,1,0
 ¡s,0,1,0
 ¡t,0,1,0
 ¡w,0,1,0
 ¿a,0,3,0
 ¿c,0,13,0
 ¿d,0,1,0
 ¿e,0,3,0
 ¿f,0,1,0
 ¿h,0,2,0
 ¿l,0,1,0
 ¿m,0,1,0
 ¿p,0,5,0
 ¿q,0,13,0
 ¿t,0,3,0
 ¿v,0,1,0
 ¿é,0,2,0
 à ,0,0,8
 às,0,0,2
 ág,0,0,2
 é ,0,0,36
 él,0,3,0
 és,0,1,0
 ól,0,0,1
 ôn,0,0,1
 úl,0,1,0
! c,0,0,1
! e,0,1,2
! h,1,0,0
! o,0,0,1
! s,1,0,0
! t,1,0,0
! w,1,0,0
! ¡,0,1,0
! ¿,0,2,0
'd ,1,0,0
'll,7,0,0
'm ,3,0,0
're,1,0,0
's ,18,0,0
't ,4,0,0
?  ,5,1,1
? a,2,1,5
? c,1,4,1
? d,0,3,3
? e,0,12,8
? f,0,1,1
? h,6,1,1
? i,13,0,1
? l,3,1,0
? m,5,4,4
? n,1,1,0
? o,1,0,6
? p,0,0,2
? q,0,1,7
? r,0,1,0
? s,0,1,3
? t,7,1,1
? u,0,1,1
? v,0,1,3
? w,7,0,0
? y,1,0,0
? ¡,0,1,0
? ¿,0,13,0
? é,0,0,1
a  ,0,1,1
a a,0,7,7
a b,5,5,5
a c,2,24,23
a d,2,16,17
a e,0,28,27
a f,2,3,7
a g,2,1,4
a h,3,7,4
a i,0,3,4
a j,0,2,2
a l,1,10,5
a m,5,24,25
a n,2,9,14
a o,0,3,7
a p,7,17,19
a q,0,5,15
a r,2,5,5
a s,6,9,14
a t,3,8,9
a u,0,5,3
a v,2,8,9
a w,3,0,0
a y,1,1,0
a ¿,0,6,0
a à,0,0,2
a á,0,0,2
a é,0,2,3
a! ,0,0,1
a? ,1,9,9
aba,0,5,2
abe,0,1,1
abi,0,1,2
abl,1,0,0
abo,1,1,1
abr,1,3,3
abí,0,2,0
aca,1,3,2
ace,2,4,0
ach,4,1,5
aci,0,12,3
ack,4,0,0
aco,0,1,1
act,1,2,0
acé,0,1,0
ací,0,1,0
ad ,3,5,0
ad?,0,1,0
ada,0,4,14
ade,1,3,10
adi,2,6,3
ado,0,21,11
adr,0,2,0
ads,1,0,0
ae ,0,1,0
aen,1,0,0
aer,0,1,1
aet,0,1,1
afe,0,0,2
aft,1,0,0
ag ,1,0,0
ag?,1,0,0
aga,1,0,0
age,4,0,3
ago,0,0,1
agu,0,3,0
agá,0,1,0
aho,0,1,0
ai ,0,0,2
aia,0,0,1
ain,5,0,1
aio,0,0,1
air,2,0,1
ais,2,1,20
ait,2,0,0
aix,0,0,3
aja,0,5,0
aje,0,2,0
aji,0,1,0
ajo,0,2,0
ajé,0,1,0
ake,2,0,0
aki,2,0,0
al ,4,10,10
al?,0,2,2
ala,0,3,2
ale,1,2,0
alg,0,4,2
alh,0,0,4
ali,1,2,1
alk,1,0,0
all,15,14,0
alm,2,8,7
alq,0,1,1
alt,1,3,3
alu,0,1,1
alw,1,0,0
alç,0,0,1
am ,3,0,7
ama,0,3,6
amb,0,2,1
ame,6,8,5
ami,2,3,0
amo,1,6,14
amp,0,1,0
amá,0,3,0
amí,0,0,1
amó,0,2,0
an ,25,12,3
an?,1,0,0
ana,0,10,0
anc,1,1,1
and,10,11,11
ane,1,0,1
ang,5,1,2
anh,0,0,11
anj,0,2,0
ank,2,0,0
ano,3,6,8
ans,3,1,0
ant,8,13,17
any,7,0,0
anz,0,2,0
anç,0,0,1
ao ,0,0,3
ap ,1,0,0
apa,2,4,2
ape,0,0,1
api,0,0,1
apo,0,1,1
app,3,0,0
apr,0,1,1
apé,0,0,1
aqu,0,3,4
ar ,5,18,17
ar!,0,1,0
ar?,1,1,0
ara,0,8,9
arc,1,1,0
ard,2,1,1
are,16,7,8
arg,1,1,0
ari,3,8,3
ark,1,0,0
arl,1,1,0
arm,0,1,1
arn,1,0,0
aro,0,7,2
arq,0,1,1
arr,4,0,3
ars,3,0,1
art,1,3,5
arz,0,1,0
arç,0,0,1
aré,0,5,0
as ,14,36,43
as?,0,3,4
asa,0,4,8
asc,0,0,2
ase,4,4,2
asi,2,6,0
aso,1,1,1
ass,3,0,2
ast,4,4,0
at ,24,0,0
at',3,0,0
at?,1,0,0
ata,0,2,4
ate,7,3,1
ath,5,0,0
ati,4,1,1
ato,3,3,2
atr,0,0,2
atu,0,0,1
aug,2,0,0
aul,0,0,2
aun,0,1,0
aur,1,1,1
aut,2,1,0
ava,0,0,6
ave,13,0,2
avi,0,1,2
avo,1,3,4
avr,0,0,1
aw ,2,0,0
aw!,0,1,1
ay ,11,5,0
ay?,5,1,0
aya,0,1,0
aye,1,4,0
ayg,1,0,0
ayo,0,1,0
ays,2,0,0
az ,0,0,1
aze,0,0,5
azé,0,0,1
aço,0,0,1
açã,0,0,6
açõ,0,0,1
aña,0,9,0
año,0,4,0
ba ,0,2,0
bac,3,0,0
bad,1,0,0
bag,2,0,0
bai,0,0,3
baj,0,6,0
bal,1,1,2
ban,1,0,1
bap,1,0,0
bar,1,1,0
bas,1,0,0
bat,1,1,0
bañ,0,1,0
be ,8,0,0
bea,2,0,0
beb,0,1,1
bec,1,0,0
bed,1,0,0
bee,3,0,0
bei,0,0,1
bem,0,0,1
ber,0,1,0
bes,1,1,0
bet,2,0,0
bia,0,0,1
bid,0,0,1
bie,0,3,0
big,3,0,0
bil,0,1,0
bin,0,0,2
bir,2,0,0
bis,0,0,1
bit,0,1,0
bié,0,1,0
bla,1,0,0
ble,4,1,0
bli,2,3,3
bo ,0,2,1
boa,0,0,2
bod,1,1,0
bol,0,5,6
bom,0,0,2
bon,0,0,2
boo,7,0,0
bor,2,0,2
bou,2,0,1
box,1,0,0
bra,0,2,4
bre,0,7,1
bri,3,1,7
bro,3,6,0
bró,0,1,0
bs?,1,0,0
bue,0,3,0
buh,1,0,0
bui,3,0,0
buj,0,2,0
bus,1,1,1
but,2,0,0
by ,4,0,0
bye,1,0,0
bás,0,1,1
bém,0,0,1
bía,0,2,0
bús,0,1,0
c b,1,0,0
c w,1,0,0
ca ,0,4,4
cab,0,2,3
cac,0,1,1
cad,0,4,5
cai,0,0,1
caj,0,1,0
cal,1,5,1
cam,1,3,1
can,7,2,1
car,4,2,5
cas,1,8,10
cat,2,0,0
cau,1,0,0
cce,1,0,0
cci,0,3,0
ce ,9,4,5
ce?,2,1,0
ced,1,0,1
cei,0,1,0
cem,0,2,2
cen,1,3,1
cer,2,4,5
ces,2,8,2
ceu,0,0,2
ch ,7,0,0
cha,1,5,5
che,5,9,3
chi,5,1,1
cho,6,4,3
chu,1,1,2
cia,2,8,5
cid,0,1,3
cie,0,4,0
cil,0,1,2
cin,0,2,1
cio,0,8,8
cir,0,1,0
cis,0,1,3
cit,1,0,0
ciu,0,2,0
ció,0,11,0
ck ,4,0,0
cke,1,0,0
ckt,1,0,0
cla,3,4,0
cle,1,0,0
cli,0,1,0
clo,3,0,0
clu,1,1,0
co ,0,2,3
cob,0,0,1
coc,0,2,0
coi,0,0,4
col,5,2,6
com,6,6,25
con,3,13,8
coo,1,0,0
cor,0,7,9
cos,1,7,3
cou,3,0,2
cre,0,1,0
cri,1,2,3
cro,3,0,0
cru,0,3,1
ct ,1,0,0
cta,0,2,1
cto,1,1,0
ctu,3,1,0
cua,0,8,0
cue,0,6,0
cui,0,1,1
cul,1,0,2
cun,0,2,0
cur,0,0,1
cus,0,0,1
cut,1,0,0
cuá,0,7,0
cé ,0,1,0
cén,0,1,0
céu,0,0,1
cê ,0,0,26
cê?,0,0,2
cía,0,2,0
cóm,0,7,0
cór,0,1,0
d  ,1,0,0
d a,4,0,0
d b,3,0,0
d c,2,1,0
d d,1,0,0
d e,1,1,0
d f,3,0,0
d g,1,0,0
d h,2,0,0
d i,9,0,0
d j,2,0,0
d l,2,0,0
d m,1,0,0
d n,1,1,0
d o,3,0,0
d p,2,1,0
d q,0,1,0
d r,1,0,0
d s,1,0,0
d t,15,0,0
d u,1,0,0
d w,3,0,0
d y,7,0,0
d ¿,0,1,0
d? ,2,2,0
da ,0,9,25
da?,0,1,0
dac,0,1,0
dad,0,10,7
daf,0,0,1
dam,0,1,1
dan,0,1,3
dar,0,2,0
das,0,2,5
dat,1,0,1
dav,0,1,0
day,11,0,0
dby,1,0,0
dde,2,0,0
ddi,2,0,0
ddl,1,0,0
de ,2,41,43
dea,1,0,0
dec,0,1,1
ded,2,0,0
dee,1,0,0
dei,0,0,9
dej,0,2,0
del,0,1,0
dem,0,3,2
den,4,3,1
dep,0,0,1
der,2,6,5
des,1,9,11
deu,0,0,1
dge,1,0,0
di ,0,0,1
dia,0,2,4
dib,0,2,0
dic,0,2,1
did,7,1,0
die,2,2,0
dif,2,5,6
dil,0,1,1
din,6,1,1
dio,0,1,2
dir,0,2,2
dis,0,0,1
dit,1,0,0
diu,0,0,1
div,1,3,3
diz,0,1,0
dió,0,2,0
dle,1,0,0
dn',1,0,0
dn’,1,0,0
do ,11,37,33
do?,0,2,2
doc,0,0,1
doe,1,0,1
dog,1,0,0
doi,1,0,1
dol,0,2,1
dom,0,1,1
don,4,0,0
doo,1,0,0
dor,1,5,3
dos,0,10,4
dow,2,0,0
dra,1,0,0
dre,5,1,0
dri,2,0,0
dro,0,1,0
drá,0,1,0
ds ,8,0,0
dua,0,0,2
duc,0,1,0
dud,0,1,0
due,0,1,0
dur,2,3,3
dy ,1,0,0
déj,0,2,0
dém,0,1,0
dê ,0,0,2
dí ,0,1,0
día,0,3,0
dón,0,3,0
dúv,0,0,1
e  ,1,0,0
e a,17,12,15
e b,15,0,2
e c,14,9,18
e d,8,8,11
e e,2,34,18
e f,9,3,5
e g,5,5,0
e h,12,10,1
e i,28,2,3
e j,0,0,3
e k,2,0,0
e l,6,16,6
e m,17,13,11
e n,8,5,5
e o,11,4,6
e p,8,9,15
e q,0,3,5
e r,4,4,3
e s,26,13,5
e t,26,8,6
e u,0,8,6
e v,1,8,14
e w,24,0,0
e y,12,2,0
e z,0,1,0
e ¿,0,2,0
e à,0,0,2
e é,0,0,8
e! ,1,1,1
e's,1,0,0
e? ,11,5,6
ea ,3,5,0
ea?,1,1,0
eac,3,0,0
ead,2,0,0
eak,2,0,0
eal,4,3,2
eam,1,0,0
ean,5,4,4
ear,10,0,0
eas,4,0,0
eat,5,0,0
eau,2,0,0
eav,3,0,0
ebo,1,1,2
ebr,0,0,1
eca,1,0,0
ecc,0,3,0
ece,1,8,8
ech,0,3,1
eci,2,6,5
eck,1,0,0
eco,1,1,0
ect,2,2,1
ecu,0,3,0
ed ,28,1,0
ed?,1,1,0
eda,0,4,0
edd,1,0,0
ede,0,6,1
edi,0,3,4
edo,0,1,1
eds,1,0,0
ee ,6,0,0
ee!,1,0,0
eed,3,0,0
eel,3,0,0
eem,1,0,0
een,5,0,0
eep,1,0,0
eer,1,2,0
ees,1,0,0
eet,5,0,0
efe,0,1,1
efi,0,1,0
efo,0,0,1
efr,2,2,0
eft,3,0,0
efu,1,1,0
ega,0,1,4
ege,1,1,1
egg,1,1,1
egm,0,1,0
ego,0,2,1
egr,0,2,0
egs,1,0,0
egu,0,2,4
ei ,0,0,10
eig,2,0,1
eij,0,0,1
eir,2,0,12
eis,0,1,1
